UoM,Year,Count
Internal_Fraud,2016,5
External_Fraud,2016,16
Employment_Practices,2016,14
Clients_Products,2016,15
Damage_Assets,2016,3
Business_Disruption,2016,4
Execution_Delivery,2016,26
Internal_Fraud,2017,4
External_Fraud,2017,13
Employment_Practices,2017,12
Clients_Products,2017,14
Damage_Assets,2017,0
Business_Disruption,2017,6
Execution_Delivery,2017,31
Internal_Fraud,2018,4
External_Fraud,2018,13
Employment_Practices,2018,8
Clients_Products,2018,18
Damage_Assets,2018,3
Business_Disruption,2018,3
Execution_Delivery,2018,27
Internal_Fraud,2019,4
External_Fraud,2019,20
Employment_Practices,2019,8
Clients_Products,2019,17
Damage_Assets,2019,4
Business_Disruption,2019,7
Execution_Delivery,2019,15
Internal_Fraud,2020,7
External_Fraud,2020,8
Employment_Practices,2020,13
Clients_Products,2020,20
Damage_Assets,2020,2
Business_Disruption,2020,4
Execution_Delivery,2020,22
Internal_Fraud,2021,4
External_Fraud,2021,15
Employment_Practices,2021,18
Clients_Products,2021,20
Damage_Assets,2021,1
Business_Disruption,2021,3
Execution_Delivery,2021,29
Internal_Fraud,2022,6
External_Fraud,2022,18
Employment_Practices,2022,11
Clients_Products,2022,20
Damage_Assets,2022,3
Business_Disruption,2022,2
Execution_Delivery,2022,22
Internal_Fraud,2023,5
External_Fraud,2023,13
Employment_Practices,2023,7
Clients_Products,2023,25
Damage_Assets,2023,2
Business_Disruption,2023,10
Execution_Delivery,2023,17
Internal_Fraud,2024,1
External_Fraud,2024,9
Employment_Practices,2024,10
Clients_Products,2024,22
Damage_Assets,2024,3
Business_Disruption,2024,6
Execution_Delivery,2024,20
Internal_Fraud,2025,7
External_Fraud,2025,13
Employment_Practices,2025,16
Clients_Products,2025,25
Damage_Assets,2025,3
Business_Disruption,2025,7
Execution_Delivery,2025,22
