UoM,Loss_Amount
Internal_Fraud,868620.03
Internal_Fraud,6378136.42
Internal_Fraud,162687.25
Internal_Fraud,34970.94
Internal_Fraud,1184932.06
Internal_Fraud,51336.06
Internal_Fraud,74989.36
Internal_Fraud,929584.96
Internal_Fraud,345253.97
Internal_Fraud,157824.23
Internal_Fraud,490179.47
Internal_Fraud,239398.97
Internal_Fraud,7529366.64
Internal_Fraud,160539.11
Internal_Fraud,112406.97
Internal_Fraud,223563.38
Internal_Fraud,238198.01
Internal_Fraud,1081073.92
Internal_Fraud,22307.84
Internal_Fraud,838222.45
Internal_Fraud,196432.05
Internal_Fraud,1418675.87
Internal_Fraud,411899.4
Internal_Fraud,963224.4
Internal_Fraud,245953.38
Internal_Fraud,853442.88
Internal_Fraud,5366329.34
Internal_Fraud,145968.39
Internal_Fraud,376701.47
Internal_Fraud,213346.75
Internal_Fraud,4825730.55
Internal_Fraud,230749.41
Internal_Fraud,147408.32
Internal_Fraud,185829.46
Internal_Fraud,360924.45
Internal_Fraud,134556.9
Internal_Fraud,254568.44
Internal_Fraud,560062.01
Internal_Fraud,372052.36
Internal_Fraud,1540415.69
Internal_Fraud,274023.02
Internal_Fraud,325486.17
Internal_Fraud,664368.75
Internal_Fraud,12828886.05
Internal_Fraud,135753.65
Internal_Fraud,7924237.18
Internal_Fraud,74954.78
Internal_Fraud,623719.26
Internal_Fraud,265911.96
Internal_Fraud,130234.71
Internal_Fraud,1262543.09
Internal_Fraud,1087992.65
Internal_Fraud,214942.92
Internal_Fraud,19135.66
Internal_Fraud,235608.97
Internal_Fraud,545144.49
Internal_Fraud,443618.58
Internal_Fraud,1374915.62
Internal_Fraud,8043009.96
Internal_Fraud,823082.94
Internal_Fraud,1036803.06
Internal_Fraud,552535.3
Internal_Fraud,2568040.39
Internal_Fraud,981757.9
Internal_Fraud,1360902.33
Internal_Fraud,6672033.5
External_Fraud,6580031.31
External_Fraud,14355.21
External_Fraud,213698.7
External_Fraud,648537.96
External_Fraud,409007.1
External_Fraud,105445.63
External_Fraud,196381.92
External_Fraud,128091.3
External_Fraud,110852.18
External_Fraud,959726.04
External_Fraud,458411.82
External_Fraud,94905.37
External_Fraud,1034470.04
External_Fraud,425469.81
External_Fraud,908266.56
External_Fraud,689997.51
External_Fraud,77381.85
External_Fraud,115812.58
External_Fraud,823188.43
External_Fraud,670350.1
External_Fraud,260054.79
External_Fraud,319972.74
External_Fraud,1823917.73
External_Fraud,110485.87
External_Fraud,609653.52
External_Fraud,198136.41
External_Fraud,193586.2
External_Fraud,1394665.67
External_Fraud,925532.5
External_Fraud,909149.16
External_Fraud,1901622.85
External_Fraud,276926.04
External_Fraud,746334.71
External_Fraud,168484.64
External_Fraud,436371.63
External_Fraud,220749.85
External_Fraud,310361.79
External_Fraud,655226.03
External_Fraud,78642.61
External_Fraud,6190837.37
External_Fraud,59336.15
External_Fraud,43421.81
External_Fraud,1524483.63
External_Fraud,879838.85
External_Fraud,684319.18
External_Fraud,688670.54
External_Fraud,263452.89
External_Fraud,69850.91
External_Fraud,300651.43
External_Fraud,97173.9
External_Fraud,1158549.79
External_Fraud,215219.55
External_Fraud,77788.91
External_Fraud,165697.85
External_Fraud,498519.1
External_Fraud,115198.63
External_Fraud,78172.2
External_Fraud,386748.86
External_Fraud,387491.76
External_Fraud,125440.3
External_Fraud,132381.41
External_Fraud,380056.39
External_Fraud,30573.03
External_Fraud,32493.79
External_Fraud,91339.05
External_Fraud,194819.6
External_Fraud,427778.73
External_Fraud,2453520.1
External_Fraud,971395.95
External_Fraud,211101.05
External_Fraud,260791.28
External_Fraud,59647.41
External_Fraud,260988.15
External_Fraud,174035.06
External_Fraud,435425
External_Fraud,77586.88
External_Fraud,584796.83
External_Fraud,2674059.72
External_Fraud,227945.03
External_Fraud,490199.43
External_Fraud,755561.14
External_Fraud,146997.27
Employment_Practices,459652
Employment_Practices,38967.38
Employment_Practices,64113.6
Employment_Practices,107341.37
Employment_Practices,40090.68
Employment_Practices,51238.08
Employment_Practices,212216.24
Employment_Practices,12094.64
Employment_Practices,20895.31
Employment_Practices,14035.34
Employment_Practices,516655.72
Employment_Practices,20898.86
Employment_Practices,48294.6
Employment_Practices,24320.94
Employment_Practices,37711.98
Employment_Practices,19808.29
Employment_Practices,119860.81
Employment_Practices,12565.68
Employment_Practices,7874.02
Employment_Practices,25909.62
Employment_Practices,18081.55
Employment_Practices,8048.43
Employment_Practices,36862.16
Employment_Practices,4963.29
Employment_Practices,799403.77
Employment_Practices,6381.11
Employment_Practices,22709.78
Employment_Practices,32684.87
Employment_Practices,749399.46
Employment_Practices,4467.24
Employment_Practices,74092.91
Employment_Practices,283718.46
Employment_Practices,37623.55
Employment_Practices,10355.51
Employment_Practices,50920.59
Employment_Practices,591638.98
Employment_Practices,23773.37
Employment_Practices,516213.23
Employment_Practices,88256.3
Employment_Practices,380321.15
Employment_Practices,83118.67
Employment_Practices,28953.21
Employment_Practices,699618.16
Employment_Practices,83939.62
Employment_Practices,76852.58
Employment_Practices,201054.93
Employment_Practices,239480.81
Employment_Practices,202659.94
Employment_Practices,7894.46
Employment_Practices,23020.65
Employment_Practices,22363.97
Employment_Practices,18608.61
Employment_Practices,16185.07
Employment_Practices,21882.97
Employment_Practices,99103.8
Employment_Practices,125695.04
Employment_Practices,59727.39
Employment_Practices,31601.24
Employment_Practices,405629.26
Employment_Practices,52190.25
Employment_Practices,244167.26
Employment_Practices,25489.22
Employment_Practices,111365.09
Employment_Practices,448261.82
Employment_Practices,1196.1
Employment_Practices,22412.45
Employment_Practices,145890.74
Employment_Practices,369247.57
Employment_Practices,81199.98
Employment_Practices,64496.04
Employment_Practices,670559.48
Employment_Practices,404735.92
Employment_Practices,16270.8
Employment_Practices,71297.49
Employment_Practices,102770.49
Employment_Practices,788508.97
Employment_Practices,219499.62
Employment_Practices,51258.45
Employment_Practices,83292.31
Employment_Practices,3548.13
Employment_Practices,256002.56
Employment_Practices,157723.56
Employment_Practices,368882.94
Employment_Practices,48239.14
Employment_Practices,72552.2
Employment_Practices,29085.43
Employment_Practices,10699.13
Clients_Products,65947.6
Clients_Products,135351.86
Clients_Products,145371.02
Clients_Products,31198.4
Clients_Products,338239.64
Clients_Products,499344.76
Clients_Products,105236.09
Clients_Products,3550641.73
Clients_Products,100806.69
Clients_Products,83280.92
Clients_Products,79737.32
Clients_Products,47894.28
Clients_Products,70365.74
Clients_Products,18936.88
Clients_Products,122112.83
Clients_Products,177408.63
Clients_Products,5301.77
Clients_Products,139675.3
Clients_Products,173373.09
Clients_Products,352175
Clients_Products,991478.57
Clients_Products,583635.19
Clients_Products,64180.48
Clients_Products,53926.74
Clients_Products,388192.49
Clients_Products,71616.46
Clients_Products,25794.56
Clients_Products,5729922.8
Clients_Products,102120.99
Clients_Products,63590.14
Clients_Products,6074.2
Clients_Products,583677.07
Clients_Products,36978.66
Clients_Products,169894.14
Clients_Products,695881.55
Clients_Products,37857.98
Clients_Products,183363.11
